date	post_url	video_url
2021-02-22	http://news.gdmztv.com/2021/277059.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/22/8df6985f1d2f4a09a3851e855d8b1bd0/h264_1200k_mp4.mp4
2021-02-23	http://news.gdmztv.com/2021/277105.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/23/f0158e08eb3a483dbacbe3c3c1212506/h264_1200k_mp4.mp4
2021-02-24	http://news.gdmztv.com/2021/277198.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/25/c50ea362307b4569a9088ea2c8655058/h264_1200k_mp4.mp4
2021-02-25	http://news.gdmztv.com/2021/277251.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/25/cac96f45238d4e2d824ca1d4c6d66c9e/h264_1200k_mp4.mp4
2021-02-26	http://news.gdmztv.com/2021/277320.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/26/8d2c7ae2dbca40669c879ea23b3df590/h264_1200k_mp4.mp4
2021-02-27	http://news.gdmztv.com/2021/277360.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/27/18e0fb1740714973bca03b84480b87a9/h264_1200k_mp4.mp4
2021-02-28	http://news.gdmztv.com/2021/277384.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/02/28/4795d82233174dc6b302f9e89748f880/h264_1200k_mp4.mp4
2021-03-01	http://news.gdmztv.com/2021/277448.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/01/6854724f5adf4156adc9549cfcbe20ab/h264_1200k_mp4.mp4
2021-03-02	http://news.gdmztv.com/2021/277509.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/02/d9f5bd47dbd34408bd407bbf8ace2d1f/h264_1200k_mp4.mp4
2021-03-03	http://news.gdmztv.com/2021/277556.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/03/89fee8f9faae41e5ab9cdf52ed602c21/h264_1200k_mp4.mp4
2021-03-04	http://news.gdmztv.com/2021/277634.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/04/468bb3b2a2884b7f8a7a019e37d03c12/h264_1200k_mp4.mp4
2021-03-05	http://news.gdmztv.com/2021/277694.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/05/cc0ce6279eeb4ce6b655f5695abc3bab/h264_1200k_mp4.mp4
2021-03-06	http://news.gdmztv.com/2021/277736.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/06/b0f66e6614e84eba8cf2b1f9adcae7bd/h264_1200k_mp4.mp4
2021-03-07	http://news.gdmztv.com/2021/277765.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/07/7d2a2ec889f44facbe1c3e94ab6b2b36/h264_1200k_mp4.mp4
2021-03-08	http://news.gdmztv.com/2021/277793.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/08/a1e55332d1434649930ec6fae424b643/h264_1200k_mp4.mp4
2021-03-09	http://news.gdmztv.com/2021/277867.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/09/a22bb391165d4f0b85c511de1d92f7b1/h264_1200k_mp4.mp4
2021-03-10	http://news.gdmztv.com/2021/277954.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/10/2acc1e040f294cf789da8f83333002a3/h264_1200k_mp4.mp4
2021-03-11	http://news.gdmztv.com/2021/278011.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/11/5b9ac9c297434d1a8dec55315250bdf5/h264_1200k_mp4.mp4
2021-03-12	http://news.gdmztv.com/2021/278079.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/12/9c12f5d95816425f8bd5db857ae5cc27/h264_1200k_mp4.mp4
2021-03-13	http://news.gdmztv.com/2021/278107.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/13/dcbfbd41600c4761a8773ca0b902bc70/h264_1200k_mp4.mp4
2021-03-14	http://news.gdmztv.com/2021/278136.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/14/7c33eff4b4b8460aaa747df9b7811555/h264_1200k_mp4.mp4
2021-03-15	http://news.gdmztv.com/2021/278199.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/15/8a5df2e9c2f740838169b1bd13fd895e/h264_1200k_mp4.mp4
2021-03-16	http://news.gdmztv.com/2021/278260.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/16/5350b5b3fef348cc9fe49ea089ba789d/h264_1200k_mp4.mp4
2021-03-17	http://news.gdmztv.com/2021/278319.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/17/30c6d45b29174bebb493ff1e334cb5c6/h264_1200k_mp4.mp4
2021-03-18	http://news.gdmztv.com/2021/278373.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/18/4227bedf08dc488ca959def8c01c688e/h264_1200k_mp4.mp4
2021-03-19	http://news.gdmztv.com/2021/278449.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/19/3bbbe26a326445e599971ec7f213a5f8/h264_1200k_mp4.mp4
2021-03-20	http://news.gdmztv.com/2021/278484.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/20/57553317d47249148998480c75ccd322/h264_1200k_mp4.mp4
2021-03-21	http://news.gdmztv.com/2021/278514.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/22/5b06c15ef5ed48b985cb735462bde4cb/h264_1200k_mp4.mp4
2021-03-22	http://news.gdmztv.com/2021/278566.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/22/9b3b992b51af44de8dab4eda43e51ff4/h264_1200k_mp4.mp4
2021-03-23	http://news.gdmztv.com/2021/278646.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/23/122884a8e12541e58e837e46ba5b1e07/h264_1200k_mp4.mp4
2021-03-24	http://news.gdmztv.com/2021/278696.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/24/41637de630c644b88c58c986767d058c/h264_1200k_mp4.mp4
2021-03-25	http://news.gdmztv.com/2021/278774.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/25/ada5142faab44b8fb26b1363982c070c/h264_1200k_mp4.mp4
2021-03-26	http://news.gdmztv.com/2021/278817.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/26/137fd7e07bcb4ef58e6cc027d8f4d151/h264_1200k_mp4.mp4
2021-03-27	http://news.gdmztv.com/2021/278873.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/27/2a09c35114a94e7ebf9bbba2339b5e3d/h264_1200k_mp4.mp4
2021-03-28	http://news.gdmztv.com/2021/278913.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/28/84f5ae138d39473cb190635382e60ddd/h264_1200k_mp4.mp4
2021-03-29	http://news.gdmztv.com/2021/278969.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/29/24cf8455817e4a4ea8d5675282c84da5/h264_1200k_mp4.mp4
2021-03-30	http://news.gdmztv.com/2021/279036.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/30/a17a549dfc0d4929810b706f95843fc3/h264_1200k_mp4.mp4
2021-03-31	http://news.gdmztv.com/2021/279108.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/03/31/d26b05673c6b4399bf865c20b76878bf/h264_1200k_mp4.mp4
2021-04-01	http://news.gdmztv.com/2021/279161.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/01/e7a9fe11c2c2478eab959159aa095277/h264_1200k_mp4.mp4
2021-04-02	http://news.gdmztv.com/2021/279229.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/02/2f152122770a4ea194171a10d4d7b38f/h264_1200k_mp4.mp4
2021-04-03	http://news.gdmztv.com/2021/279295.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/03/5a41ac236584431ab219fab7ab6858c6/h264_1200k_mp4.mp4
2021-04-04	http://news.gdmztv.com/2021/279324.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/04/672adc4db8d849e9b96601be6e1ae2d9/h264_1200k_mp4.mp4
2021-04-05	http://news.gdmztv.com/2021/279380.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/05/ae1c5d82a6bd4c4bb20541c4f3bba316/h264_1200k_mp4.mp4
2021-04-06	http://news.gdmztv.com/2021/279433.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/06/570b8baf0dba47068b3142eda8621e00/h264_1200k_mp4.mp4
2021-04-07	http://news.gdmztv.com/2021/279498.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/07/9e7df28f3efb4499867b89c1b82ee7b9/h264_1200k_mp4.mp4
2021-04-08	http://news.gdmztv.com/2021/279546.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/08/7aee123c541e48c1915e3d132ae143ff/h264_1200k_mp4.mp4
2021-04-09	http://news.gdmztv.com/2021/279631.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/09/370d12ed978e40f3aee52653b103dc55/h264_1200k_mp4.mp4
2021-04-10	http://news.gdmztv.com/2021/279663.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/10/78812e4c64544bf0ac2ad04444e7e687/h264_1200k_mp4.mp4
2021-04-11	http://news.gdmztv.com/2021/279692.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/11/8708624131544f11a44928684f55912e/h264_1200k_mp4.mp4
2021-04-12	http://news.gdmztv.com/2021/279742.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/12/00b3cbf24e0647d5a652b566f4673fa4/h264_1200k_mp4.mp4
2021-04-13	http://news.gdmztv.com/2021/279812.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/13/4b9172215042415498a4d21c55417e72/h264_1200k_mp4.mp4
2021-04-14	http://news.gdmztv.com/2021/279866.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/14/8fbbfd63770e42b0bf58746ee9f98816/h264_1200k_mp4.mp4
2021-04-15	http://news.gdmztv.com/2021/279945.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/15/db259c655e354dd1974cd1a64b565471/h264_1200k_mp4.mp4
2021-04-16	http://news.gdmztv.com/2021/279987.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/16/e60e0f9c47754a0bb5ee1ecb13305673/h264_1200k_mp4.mp4
2021-04-17	http://news.gdmztv.com/2021/280041.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/17/0df2d94671624a53b286eda03b21fb6c/h264_1200k_mp4.mp4
2021-04-18	http://news.gdmztv.com/2021/280066.shtml	http://v8.gdmztv.com:8082/mzt/vod/2021/04/18/883ca0dc46374a98ab8179aaefe8dda5/h264_1200k_mp4.mp4
